date,currency,rate_to_cny
1960-01-15,USD,2.4618
1960-02-15,USD,2.4618
1960-03-15,USD,2.4618
1960-04-15,USD,2.4618
1960-05-15,USD,2.4618
1960-06-15,USD,2.4618
1960-07-15,USD,2.4618
1960-08-15,USD,2.4618
1960-09-15,USD,2.4618
1960-10-15,USD,2.4618
1960-11-15,USD,2.4618
1960-12-15,USD,2.4618
1961-01-15,USD,2.4618
1961-02-15,USD,2.4618
1961-03-15,USD,2.4618
1961-04-15,USD,2.4618
1961-05-15,USD,2.4618
1961-06-15,USD,2.4618
1961-07-15,USD,2.4618
1961-08-15,USD,2.4618
1961-09-15,USD,2.4618
1961-10-15,USD,2.4618
1961-11-15,USD,2.4618
1961-12-15,USD,2.4618
1962-01-15,USD,2.4618
1962-02-15,USD,2.4618
1962-03-15,USD,2.4618
1962-04-15,USD,2.4618
1962-05-15,USD,2.4618
1962-06-15,USD,2.4618
1962-07-15,USD,2.4618
1962-08-15,USD,2.4618
1962-09-15,USD,2.4618
1962-10-15,USD,2.4618
1962-11-15,USD,2.4618
1962-12-15,USD,2.4618
1963-01-15,USD,2.4618
1963-02-15,USD,2.4618
1963-03-15,USD,2.4618
1963-04-15,USD,2.4618
1963-05-15,USD,2.4618
1963-06-15,USD,2.4618
1963-07-15,USD,2.4618
1963-08-15,USD,2.4618
1963-09-15,USD,2.4618
1963-10-15,USD,2.4618
1963-11-15,USD,2.4618
1963-12-15,USD,2.4618
1964-01-15,USD,2.4618
1964-02-15,USD,2.4618
1964-03-15,USD,2.4618
1964-04-15,USD,2.4618
1964-05-15,USD,2.4618
1964-06-15,USD,2.4618
1964-07-15,USD,2.4618
1964-08-15,USD,2.4618
1964-09-15,USD,2.4618
1964-10-15,USD,2.4618
1964-11-15,USD,2.4618
1964-12-15,USD,2.4618
1965-01-15,USD,2.4618
1965-02-15,USD,2.4618
1965-03-15,USD,2.4618
1965-04-15,USD,2.4618
1965-05-15,USD,2.4618
1965-06-15,USD,2.4618
1965-07-15,USD,2.4618
1965-08-15,USD,2.4618
1965-09-15,USD,2.4618
1965-10-15,USD,2.4618
1965-11-15,USD,2.4618
1965-12-15,USD,2.4618
1966-01-15,USD,2.4618
1966-02-15,USD,2.4618
1966-03-15,USD,2.4618
1966-04-15,USD,2.4618
1966-05-15,USD,2.4618
1966-06-15,USD,2.4618
1966-07-15,USD,2.4618
1966-08-15,USD,2.4618
1966-09-15,USD,2.4618
1966-10-15,USD,2.4618
1966-11-15,USD,2.4618
1966-12-15,USD,2.4618
1967-01-15,USD,2.4618
1967-02-15,USD,2.4618
1967-03-15,USD,2.4618
1967-04-15,USD,2.4618
1967-05-15,USD,2.4618
1967-06-15,USD,2.4618
1967-07-15,USD,2.4618
1967-08-15,USD,2.4618
1967-09-15,USD,2.4618
1967-10-15,USD,2.4618
1967-11-15,USD,2.4618
1967-12-15,USD,2.4618
1968-01-15,USD,2.4618
1968-02-15,USD,2.4618
1968-03-15,USD,2.4618
1968-04-15,USD,2.4618
1968-05-15,USD,2.4618
1968-06-15,USD,2.4618
1968-07-15,USD,2.4618
1968-08-15,USD,2.4618
1968-09-15,USD,2.4618
1968-10-15,USD,2.4618
1968-11-15,USD,2.4618
1968-12-15,USD,2.4618
1969-01-15,USD,2.4618
1969-02-15,USD,2.4618
1969-03-15,USD,2.4618
1969-04-15,USD,2.4618
1969-05-15,USD,2.4618
1969-06-15,USD,2.4618
1969-07-15,USD,2.4618
1969-08-15,USD,2.4618
1969-09-15,USD,2.4618
1969-10-15,USD,2.4618
1969-11-15,USD,2.4618
1969-12-15,USD,2.4618
1970-01-15,USD,2.4618
1970-02-15,USD,2.4618
1970-03-15,USD,2.4618
1970-04-15,USD,2.4618
1970-05-15,USD,2.4618
1970-06-15,USD,2.4618
1970-07-15,USD,2.4618
1970-08-15,USD,2.4618
1970-09-15,USD,2.4618
1970-10-15,USD,2.4618
1970-11-15,USD,2.4618
1970-12-15,USD,2.4618
1971-01-15,USD,2.4618
1971-02-15,USD,2.4618
1971-03-15,USD,2.4618
1971-04-15,USD,2.4618
1971-05-15,USD,2.4618
1971-06-15,USD,2.4618
1971-07-15,USD,2.4618
1971-08-15,USD,2.2451
1971-09-15,USD,2.2451
1971-10-15,USD,2.2451
1971-11-15,USD,2.2451
1971-12-15,USD,2.2451
1972-01-15,USD,2.2451
1972-02-15,USD,2.2451
1972-03-15,USD,2.2451
1972-04-15,USD,2.2451
1972-05-15,USD,2.2451
1972-06-15,USD,2.2451
1972-07-15,USD,2.2451
1972-08-15,USD,1.989
1972-09-15,USD,1.989
1972-10-15,USD,1.989
1972-11-15,USD,1.989
1972-12-15,USD,1.989
1973-01-15,USD,1.989
1973-02-15,USD,1.989
1973-03-15,USD,1.989
1973-04-15,USD,1.989
1973-05-15,USD,1.989
1973-06-15,USD,1.989
1973-07-15,USD,1.989
1973-08-15,USD,1.5083
1973-09-15,USD,1.5167
1973-10-15,USD,1.525
1973-11-15,USD,1.5333
1973-12-15,USD,1.5417
1974-01-15,USD,1.55
1974-02-15,USD,1.5583
1974-03-15,USD,1.5667
1974-04-15,USD,1.575
1974-05-15,USD,1.5833
1974-06-15,USD,1.5917
1974-07-15,USD,1.6
1974-08-15,USD,1.6083
1974-09-15,USD,1.6167
1974-10-15,USD,1.625
1974-11-15,USD,1.6333
1974-12-15,USD,1.6417
1975-01-15,USD,1.65
1975-02-15,USD,1.6583
1975-03-15,USD,1.6667
1975-04-15,USD,1.675
1975-05-15,USD,1.6833
1975-06-15,USD,1.6917
1975-07-15,USD,1.7
1975-08-15,USD,1.7083
1975-09-15,USD,1.7167
1975-10-15,USD,1.725
1975-11-15,USD,1.7333
1975-12-15,USD,1.7417
1976-01-15,USD,1.75
1976-02-15,USD,1.7583
1976-03-15,USD,1.7667
1976-04-15,USD,1.775
1976-05-15,USD,1.7833
1976-06-15,USD,1.7917
1976-07-15,USD,1.8
1976-08-15,USD,1.8083
1976-09-15,USD,1.8167
1976-10-15,USD,1.825
1976-11-15,USD,1.8333
1976-12-15,USD,1.8417
1977-01-15,USD,1.85
1977-02-15,USD,1.8583
1977-03-15,USD,1.8667
1977-04-15,USD,1.875
1977-05-15,USD,1.8833
1977-06-15,USD,1.8917
1977-07-15,USD,1.9
1977-08-15,USD,1.9083
1977-09-15,USD,1.9167
1977-10-15,USD,1.925
1977-11-15,USD,1.9333
1977-12-15,USD,1.9417
1978-01-15,USD,1.95
1978-02-15,USD,1.9583
1978-03-15,USD,1.9667
1978-04-15,USD,1.975
1978-05-15,USD,1.9833
1978-06-15,USD,1.9917
1978-07-15,USD,2.0
1978-08-15,USD,2.0083
1978-09-15,USD,2.0167
1978-10-15,USD,2.025
1978-11-15,USD,2.0333
1978-12-15,USD,2.0417
1979-01-15,USD,2.05
1979-02-15,USD,2.0583
1979-03-15,USD,2.0667
1979-04-15,USD,2.075
1979-05-15,USD,2.0833
1979-06-15,USD,2.0917
1979-07-15,USD,2.1
1979-08-15,USD,2.1083
1979-09-15,USD,2.1167
1979-10-15,USD,2.125
1979-11-15,USD,2.1333
1979-12-15,USD,2.1417
1980-01-15,USD,2.15
1980-02-15,USD,2.1583
1980-03-15,USD,2.1667
1980-04-15,USD,2.175
1980-05-15,USD,2.1833
1980-06-15,USD,2.1917
1980-07-15,USD,2.2
1980-08-15,USD,1.705
1980-09-15,USD,1.705
1980-10-15,USD,1.705
1980-11-15,USD,1.705
1980-12-15,USD,1.705
1981-01-15,USD,1.705
1981-02-15,USD,2.025
1981-03-15,USD,2.05
1981-04-15,USD,2.075
1981-05-15,USD,2.1
1981-06-15,USD,2.125
1981-07-15,USD,2.15
1981-08-15,USD,2.175
1981-09-15,USD,2.2
1981-10-15,USD,2.225
1981-11-15,USD,2.25
1981-12-15,USD,2.275
1982-01-15,USD,2.3
1982-02-15,USD,2.325
1982-03-15,USD,2.35
1982-04-15,USD,2.375
1982-05-15,USD,2.4
1982-06-15,USD,2.425
1982-07-15,USD,2.45
1982-08-15,USD,2.475
1982-09-15,USD,2.5
1982-10-15,USD,2.525
1982-11-15,USD,2.55
1982-12-15,USD,2.575
1983-01-15,USD,2.6
1983-02-15,USD,2.625
1983-03-15,USD,2.65
1983-04-15,USD,2.675
1983-05-15,USD,2.7
1983-06-15,USD,2.725
1983-07-15,USD,2.75
1983-08-15,USD,2.775
1983-09-15,USD,2.8
1983-10-15,USD,2.825
1983-11-15,USD,2.85
1983-12-15,USD,2.875
1984-01-15,USD,2.9
1984-02-15,USD,2.925
1984-03-15,USD,2.95
1984-04-15,USD,2.975
1984-05-15,USD,3.0
1984-06-15,USD,3.025
1984-07-15,USD,3.05
1984-08-15,USD,2.9366
1984-09-15,USD,2.9366
1984-10-15,USD,2.9366
1984-11-15,USD,2.9366
1984-12-15,USD,2.9366
1985-01-15,USD,2.9366
1985-02-15,USD,2.9366
1985-03-15,USD,2.9366
1985-04-15,USD,2.9366
1985-05-15,USD,2.9366
1985-06-15,USD,2.9366
1985-07-15,USD,2.9366
1985-08-15,USD,3.45
1985-09-15,USD,3.45
1985-10-15,USD,3.45
1985-11-15,USD,3.45
1985-12-15,USD,3.45
1986-01-15,USD,3.45
1986-02-15,USD,3.45
1986-03-15,USD,3.45
1986-04-15,USD,3.45
1986-05-15,USD,3.45
1986-06-15,USD,3.45
1986-07-15,USD,3.45
1986-08-15,USD,3.72
1986-09-15,USD,3.72
1986-10-15,USD,3.72
1986-11-15,USD,3.72
1986-12-15,USD,3.72
1987-01-15,USD,3.72
1987-02-15,USD,3.72
1987-03-15,USD,3.72
1987-04-15,USD,3.72
1987-05-15,USD,3.72
1987-06-15,USD,3.72
1987-07-15,USD,3.72
1987-08-15,USD,3.72
1987-09-15,USD,3.72
1987-10-15,USD,3.72
1987-11-15,USD,3.72
1987-12-15,USD,3.72
1988-01-15,USD,3.72
1988-02-15,USD,3.72
1988-03-15,USD,3.72
1988-04-15,USD,3.72
1988-05-15,USD,3.72
1988-06-15,USD,3.72
1988-07-15,USD,3.72
1988-08-15,USD,3.72
1988-09-15,USD,3.72
1988-10-15,USD,3.72
1988-11-15,USD,3.72
1988-12-15,USD,3.72
1989-01-15,USD,3.72
1989-02-15,USD,3.72
1989-03-15,USD,3.72
1989-04-15,USD,3.72
1989-05-15,USD,3.72
1989-06-15,USD,3.72
1989-07-15,USD,3.72
1989-08-15,USD,4.78
1989-09-15,USD,4.78
1989-10-15,USD,4.78
1989-11-15,USD,4.78
1989-12-15,USD,4.78
1990-01-15,USD,4.78
1990-02-15,USD,4.78
1990-03-15,USD,4.78
1990-04-15,USD,4.78
1990-05-15,USD,4.78
1990-06-15,USD,4.78
1990-07-15,USD,4.78
1990-08-15,USD,5.32
1990-09-15,USD,5.32
1990-10-15,USD,5.32
1990-11-15,USD,5.32
1990-12-15,USD,5.32
1991-01-15,USD,5.32
1991-02-15,USD,5.32
1991-03-15,USD,5.32
1991-04-15,USD,5.32
1991-05-15,USD,5.32
1991-06-15,USD,5.32
1991-07-15,USD,5.32
1991-08-15,USD,5.51
1991-09-15,USD,5.51
1991-10-15,USD,5.51
1991-11-15,USD,5.51
1991-12-15,USD,5.51
1992-01-15,USD,5.51
1992-02-15,USD,5.51
1992-03-15,USD,5.51
1992-04-15,USD,5.51
1992-05-15,USD,5.51
1992-06-15,USD,5.51
1992-07-15,USD,5.51
1992-08-15,USD,5.76
1992-09-15,USD,5.76
1992-10-15,USD,5.76
1992-11-15,USD,5.76
1992-12-15,USD,5.76
1993-01-15,USD,5.76
1993-02-15,USD,5.76
1993-03-15,USD,5.76
1993-04-15,USD,5.76
1993-05-15,USD,5.76
1993-06-15,USD,5.76
1993-07-15,USD,5.76
1993-08-15,USD,5.8
1993-09-15,USD,5.8
1993-10-15,USD,5.8
1993-11-15,USD,5.8
1993-12-15,USD,8.0417
1994-01-15,USD,8.05
1994-02-15,USD,8.0583
1994-03-15,USD,8.0667
1994-04-15,USD,8.075
1994-05-15,USD,8.0833
1994-06-15,USD,8.0917
1994-07-15,USD,8.1
1994-08-15,USD,8.1083
1994-09-15,USD,8.1167
1994-10-15,USD,8.125
1994-11-15,USD,8.1333
1994-12-15,USD,8.1417
1995-01-15,USD,8.15
1995-02-15,USD,8.1583
1995-03-15,USD,8.1667
1995-04-15,USD,8.175
1995-05-15,USD,8.1833
1995-06-15,USD,8.1917
1995-07-15,USD,8.2
1995-08-15,USD,8.2083
1995-09-15,USD,8.2167
1995-10-15,USD,8.225
1995-11-15,USD,8.2333
1995-12-15,USD,8.2417
1996-01-15,USD,8.25
