month,metal_cn,metal_en,price_usd,unit_usd,usd_cny_avg,price_cny,unit_cny,exchange_source
1960-01,铜,copper,715.4,美元/吨,2.4618,1761.17,元/吨,本地 CSV (data/exchange_rates.csv)
1960-02,铜,copper,728.19,美元/吨,2.4618,1792.66,元/吨,本地 CSV (data/exchange_rates.csv)
1960-03,铜,copper,684.94,美元/吨,2.4618,1686.19,元/吨,本地 CSV (data/exchange_rates.csv)
1960-04,铜,copper,723.11,美元/吨,2.4618,1780.15,元/吨,本地 CSV (data/exchange_rates.csv)
1960-05,铜,copper,684.75,美元/吨,2.4618,1685.72,元/吨,本地 CSV (data/exchange_rates.csv)
1960-06,铜,copper,691.59,美元/吨,2.4618,1702.56,元/吨,本地 CSV (data/exchange_rates.csv)
1960-07,铜,copper,702.39,美元/吨,2.4618,1729.14,元/吨,本地 CSV (data/exchange_rates.csv)
1960-08,铜,copper,675.94,美元/吨,2.4618,1664.03,元/吨,本地 CSV (data/exchange_rates.csv)
1960-09,铜,copper,647.06,美元/吨,2.4618,1592.93,元/吨,本地 CSV (data/exchange_rates.csv)
1960-10,铜,copper,612.66,美元/吨,2.4618,1508.25,元/吨,本地 CSV (data/exchange_rates.csv)
1960-11,铜,copper,642.13,美元/吨,2.4618,1580.8,元/吨,本地 CSV (data/exchange_rates.csv)
1960-12,铜,copper,636.91,美元/吨,2.4618,1567.95,元/吨,本地 CSV (data/exchange_rates.csv)
1961-01,铜,copper,606.71,美元/吨,2.4618,1493.6,元/吨,本地 CSV (data/exchange_rates.csv)
1961-02,铜,copper,616.63,美元/吨,2.4618,1518.02,元/吨,本地 CSV (data/exchange_rates.csv)
1961-03,铜,copper,621.26,美元/吨,2.4618,1529.42,元/吨,本地 CSV (data/exchange_rates.csv)
1961-04,铜,copper,631.84,美元/吨,2.4618,1555.46,元/吨,本地 CSV (data/exchange_rates.csv)
1961-05,铜,copper,668.44,美元/吨,2.4618,1645.57,元/吨,本地 CSV (data/exchange_rates.csv)
1961-06,铜,copper,652.12,美元/吨,2.4618,1605.39,元/吨,本地 CSV (data/exchange_rates.csv)
1961-07,铜,copper,633.39,美元/吨,2.4618,1559.28,元/吨,本地 CSV (data/exchange_rates.csv)
1961-08,铜,copper,636.47,美元/吨,2.4618,1566.86,元/吨,本地 CSV (data/exchange_rates.csv)
1961-09,铜,copper,632.72,美元/吨,2.4618,1557.63,元/吨,本地 CSV (data/exchange_rates.csv)
1961-10,铜,copper,630.3,美元/吨,2.4618,1551.67,元/吨,本地 CSV (data/exchange_rates.csv)
