month,metal_cn,metal_en,price_usd,unit_usd
1960-01,铜,copper,715.4,美元/吨
1960-02,铜,copper,728.19,美元/吨
1960-03,铜,copper,684.94,美元/吨
1960-04,铜,copper,723.11,美元/吨
1960-05,铜,copper,684.75,美元/吨
1960-06,铜,copper,691.59,美元/吨
1960-07,铜,copper,702.39,美元/吨
1960-08,铜,copper,675.94,美元/吨
1960-09,铜,copper,647.06,美元/吨
1960-10,铜,copper,612.66,美元/吨
1960-11,铜,copper,642.13,美元/吨
1960-12,铜,copper,636.91,美元/吨
1961-01,铜,copper,606.71,美元/吨
1961-02,铜,copper,616.63,美元/吨
1961-03,铜,copper,621.26,美元/吨
1961-04,铜,copper,631.84,美元/吨
1961-05,铜,copper,668.44,美元/吨
1961-06,铜,copper,652.12,美元/吨
1961-07,铜,copper,633.39,美元/吨
1961-08,铜,copper,636.47,美元/吨
1961-09,铜,copper,632.72,美元/吨
1961-10,铜,copper,630.3,美元/吨
1961-11,铜,copper,632.28,美元/吨
1961-12,铜,copper,634.85,美元/吨
1962-01,铜,copper,635.37,美元/吨
1962-02,铜,copper,647.94,美元/吨
1962-03,铜,copper,647.5,美元/吨
1962-04,铜,copper,645.95,美元/吨
1962-05,铜,copper,645.73,美元/吨
1962-06,铜,copper,645.51,美元/吨
1962-07,铜,copper,645.51,美元/吨
1962-08,铜,copper,645.51,美元/吨
1962-09,铜,copper,645.51,美元/吨
1962-10,铜,copper,645.95,美元/吨
1962-11,铜,copper,645.51,美元/吨
1962-12,铜,copper,645.73,美元/吨
1963-01,铜,copper,645.51,美元/吨
1963-02,铜,copper,645.51,美元/吨
1963-03,铜,copper,645.51,美元/吨
1963-04,铜,copper,645.73,美元/吨
1963-05,铜,copper,645.51,美元/吨
1963-06,铜,copper,645.73,美元/吨
1963-07,铜,copper,645.51,美元/吨
1963-08,铜,copper,645.51,美元/吨
1963-09,铜,copper,645.51,美元/吨
1963-10,铜,copper,645.51,美元/吨
1963-11,铜,copper,645.73,美元/吨
1963-12,铜,copper,650.14,美元/吨
1964-01,铜,copper,655.65,美元/吨
1964-02,铜,copper,693.79,美元/吨
1964-03,铜,copper,745.16,美元/吨
1964-04,铜,copper,861.56,美元/吨
1964-05,铜,copper,828.28,美元/吨
1964-06,铜,copper,808.43,美元/吨
1964-07,铜,copper,854.95,美元/吨
1964-08,铜,copper,999.33,美元/吨
1964-09,铜,copper,1162.05,美元/吨
1964-10,铜,copper,1358.27,美元/吨
1964-11,铜,copper,1400.37,美元/吨
