month,metal_cn,metal_en,price_cny,unit_cny,change_1m,change_3m,change_6m,change_12m,status_label,is_large_move,needs_review
1960-01,铜,copper,1761.17,元/吨,,,,,数据不足,False,False
1960-02,铜,copper,1792.66,元/吨,1.79,,,,温和上涨,False,False
1960-03,铜,copper,1686.19,元/吨,-5.94,,,,下跌明显,False,False
1960-04,铜,copper,1780.15,元/吨,5.57,1.08,,,上涨明显,False,False
1960-05,铜,copper,1685.72,元/吨,-5.3,-5.97,,,下跌明显,False,False
1960-06,铜,copper,1702.56,元/吨,1.0,0.97,,,变化不大,False,False
1960-07,铜,copper,1729.14,元/吨,1.56,-2.87,-1.82,,温和上涨,False,False
1960-08,铜,copper,1664.03,元/吨,-3.77,-1.29,-7.18,,小幅回落,False,False
1960-09,铜,copper,1592.93,元/吨,-4.27,-6.44,-5.53,,小幅回落,False,False
1960-10,铜,copper,1508.25,元/吨,-5.32,-12.77,-15.27,,下跌明显,False,False
1960-11,铜,copper,1580.8,元/吨,4.81,-5.0,-6.22,,温和上涨,False,False
1960-12,铜,copper,1567.95,元/吨,-0.81,-1.57,-7.91,,变化不大,False,False
1961-01,铜,copper,1493.6,元/吨,-4.74,-0.97,-13.62,-15.19,小幅回落,False,False
1961-02,铜,copper,1518.02,元/吨,1.64,-3.97,-8.77,-15.32,温和上涨,False,False
1961-03,铜,copper,1529.42,元/吨,0.75,-2.46,-3.99,-9.3,变化不大,False,False
1961-04,铜,copper,1555.46,元/吨,1.7,4.14,3.13,-12.62,持续上涨,False,False
1961-05,铜,copper,1645.57,元/吨,5.79,8.4,4.1,-2.38,上涨明显,False,False
1961-06,铜,copper,1605.39,元/吨,-2.44,4.97,2.39,-5.71,小幅回落,False,False
1961-07,铜,copper,1559.28,元/吨,-2.87,0.25,4.4,-9.82,小幅回落,False,False
1961-08,铜,copper,1566.86,元/吨,0.49,-4.78,3.22,-5.84,变化不大,False,False
1961-09,铜,copper,1557.63,元/吨,-0.59,-2.97,1.84,-2.22,变化不大,False,False
1961-10,铜,copper,1551.67,元/吨,-0.38,-0.49,-0.24,2.88,变化不大,False,False
1961-11,铜,copper,1556.55,元/吨,0.31,-0.66,-5.41,-1.53,变化不大,False,False
1961-12,铜,copper,1562.87,元/吨,0.41,0.34,-2.65,-0.32,变化不大,False,False
1962-01,铜,copper,1564.15,元/吨,0.08,0.8,0.31,4.72,持续上涨,False,False
1962-02,铜,copper,1595.1,元/吨,1.98,2.48,1.8,5.08,持续上涨,False,False
1962-03,铜,copper,1594.02,元/吨,-0.07,1.99,2.34,4.22,变化不大,False,False
1962-04,铜,copper,1590.2,元/吨,-0.24,1.67,2.48,2.23,变化不大,False,False
1962-05,铜,copper,1589.66,元/吨,-0.03,-0.34,2.13,-3.4,持续下跌,False,False
1962-06,铜,copper,1589.12,元/吨,-0.03,-0.31,1.68,-1.01,持续下跌,False,False
1962-07,铜,copper,1589.12,元/吨,0.0,-0.07,1.6,1.91,变化不大,False,False
1962-08,铜,copper,1589.12,元/吨,0.0,-0.03,-0.37,1.42,变化不大,False,False
1962-09,铜,copper,1589.12,元/吨,0.0,0.0,-0.31,2.02,变化不大,False,False
1962-10,铜,copper,1590.2,元/吨,0.07,0.07,0.0,2.48,变化不大,False,False
1962-11,铜,copper,1589.12,元/吨,-0.07,0.0,-0.03,2.09,变化不大,False,False
1962-12,铜,copper,1589.66,元/吨,0.03,0.03,0.03,1.71,变化不大,False,False
1963-01,铜,copper,1589.12,元/吨,-0.03,-0.07,0.0,1.6,变化不大,False,False
1963-02,铜,copper,1589.12,元/吨,0.0,0.0,0.0,-0.37,变化不大,False,False
1963-03,铜,copper,1589.12,元/吨,0.0,-0.03,0.0,-0.31,变化不大,False,False
1963-04,铜,copper,1589.66,元/吨,0.03,0.03,-0.03,-0.03,变化不大,False,False
1963-05,铜,copper,1589.12,元/吨,-0.03,0.0,0.0,-0.03,变化不大,False,False
1963-06,铜,copper,1589.66,元/吨,0.03,0.03,0.0,0.03,变化不大,False,False
1963-07,铜,copper,1589.12,元/吨,-0.03,-0.03,0.0,0.0,变化不大,False,False
1963-08,铜,copper,1589.12,元/吨,0.0,0.0,0.0,0.0,变化不大,False,False
1963-09,铜,copper,1589.12,元/吨,0.0,-0.03,0.0,0.0,变化不大,False,False
1963-10,铜,copper,1589.12,元/吨,0.0,0.0,-0.03,-0.07,变化不大,False,False
1963-11,铜,copper,1589.66,元/吨,0.03,0.03,0.03,0.03,变化不大,False,False
1963-12,铜,copper,1600.51,元/吨,0.68,0.72,0.68,0.68,变化不大,False,False
1964-01,铜,copper,1614.08,元/吨,0.85,1.57,1.57,1.57,持续上涨,False,False
1964-02,铜,copper,1707.97,元/吨,5.82,7.44,7.48,7.48,上涨明显,False,False
1964-03,铜,copper,1834.43,元/吨,7.4,14.62,15.44,15.44,上涨明显,False,False
1964-04,铜,copper,2120.99,元/吨,15.62,31.41,33.47,33.42,上涨明显,True,True
1964-05,铜,copper,2039.06,元/吨,-3.86,19.38,28.27,28.31,小幅回落,False,False
1964-06,铜,copper,1990.19,元/吨,-2.4,8.49,24.35,25.2,小幅回落,False,False
1964-07,铜,copper,2104.72,元/吨,5.75,-0.77,30.4,32.45,上涨明显,False,False
1964-08,铜,copper,2460.15,元/吨,16.89,20.65,44.04,54.81,上涨明显,True,True
1964-09,铜,copper,2860.73,元/吨,16.28,43.74,55.95,80.02,上涨明显,True,True
1964-10,铜,copper,3343.79,元/吨,16.89,58.87,57.65,110.42,上涨明显,True,True
1964-11,铜,copper,3447.43,元/吨,3.1,40.13,69.07,116.87,持续上涨,False,False
1964-12,铜,copper,3124.52,元/吨,-9.37,9.22,57.0,95.22,下跌明显,True,False
1965-01,铜,copper,2463.47,元/吨,-21.16,-26.33,17.04,52.62,下跌明显,True,True
1965-02,铜,copper,2904.7,元/吨,17.91,-15.74,18.07,70.07,上涨明显,True,True
1965-03,铜,copper,3045.81,元/吨,4.86,-2.52,6.47,66.04,温和上涨,False,False
1965-04,铜,copper,3319.34,元/吨,8.98,34.74,-0.73,56.5,上涨明显,True,False
1965-05,铜,copper,3393.71,元/吨,2.24,16.84,-1.56,66.44,持续上涨,False,False
1965-06,铜,copper,3222.2,元/吨,-5.05,5.79,3.13,61.9,下跌明显,False,False
1965-07,铜,copper,2791.83,元/吨,-13.36,-15.89,13.33,32.65,下跌明显,True,False
1965-08,铜,copper,2978.53,元/吨,6.69,-12.23,2.54,21.07,上涨明显,False,False
1965-09,铜,copper,3268.88,元/吨,9.75,1.45,7.32,14.27,上涨明显,True,False
1965-10,铜,copper,3451.25,元/吨,5.58,23.62,3.97,3.21,上涨明显,False,False
1965-11,铜,copper,3616.78,元/吨,4.8,21.43,6.57,4.91,持续上涨,False,False
1965-12,铜,copper,3736.18,元/吨,3.3,14.3,15.95,19.58,持续上涨,False,False
1966-01,铜,copper,4133.46,元/吨,10.63,19.77,48.06,67.79,上涨明显,True,False
