week_start,week_end,metal,source,market,identifier,price_cny,display_unit,week_close_cny,week_high_cny,week_low_cny,weekly_change_cny_pct,native_avg_close,native_last_close,native_unit,weekly_change_native_pct,usd_cny,fx_ticker,observations
2025-07-18,2025-07-18,白银,Yahoo Finance,COMEX Silver Futures,SI=F,8.827419770643884,人民币/克,8.827419770643884,8.894855738137041,8.827419770643884,,38.222999572753906,38.222999572753906,美元/金衡盎司,,7.183199882507324,CNY=X,1
2025-07-18,2025-07-18,铜,Yahoo Finance,COMEX Copper Futures,HG=F,88334.57546448433,人民币/吨,88334.57546448433,88350.41056164345,86925.1460989821,,5.578000068664551,5.578000068664551,美元/磅,,7.183199882507324,CNY=X,1
2025-07-17,2025-07-18,锡,SHFE official,SHFE Tin Futures,SN,263230.0,人民币/吨,264540.0,266470.0,260640.0,,263230.0,264540.0,人民币/吨,,,not_required,2
2025-07-18,2025-07-18,黄金,Yahoo Finance,COMEX Gold Futures,GC=F,774.3593862807986,人民币/克,774.3593862807986,774.3593862807986,770.9413854673561,,3353.0,3353.0,美元/金衡盎司,,7.183199882507324,CNY=X,1
2025-07-21,2025-07-25,白银,Yahoo Finance,COMEX Silver Futures,SI=F,8.982832223809918,人民币/克,8.778042339230113,9.090275384982666,8.748833815149492,1.7605648898998627,38.97740020751953,38.16699981689453,美元/金衡盎司,1.9736824508753914,7.153500080108643,CNY=X,5
2025-07-21,2025-07-25,铜,Yahoo Finance,COMEX Copper Futures,HG=F,90527.98200754065,人民币/吨,90894.8253249532,93046.65570779178,87831.77610502687,2.4830668303128967,5.728600025177002,5.763500213623047,美元/磅,2.69989162170281,7.153500080108643,CNY=X,5
2025-07-21,2025-07-25,锡,SHFE official,SHFE Tin Futures,SN,270076.0,人民币/吨,272120.0,275750.0,263200.0,2.6007673897352035,270076.0,272120.0,人民币/吨,2.6007673897352035,,not_required,5
2025-07-21,2025-07-25,黄金,Yahoo Finance,COMEX Gold Futures,GC=F,780.8164597362947,人民币/克,766.7878874262126,793.8307144884776,765.0629596650558,0.8338600357786108,3388.039990234375,3334.0,美元/金衡盎司,1.0450340063935304,7.153500080108643,CNY=X,5
2025-07-28,2025-08-01,白银,Yahoo Finance,COMEX Silver Futures,SI=F,8.630241111000249,人民币/克,8.515888852849514,8.805681801355597,8.413570045924397,-3.925166406593794,37.40299987792969,36.7869987487793,美元/金衡盎司,-4.039264602584014,7.200200080871582,CNY=X,5
2025-07-28,2025-08-01,铜,Yahoo Finance,COMEX Copper Futures,HG=F,80718.05453306418,人民币/吨,70042.80554851245,90650.37733647929,68403.19496705472,-10.836348338858738,5.102299976348877,4.412499904632568,美元/磅,-10.932863982047236,7.200200080871582,CNY=X,5
2025-07-28,2025-08-01,锡,SHFE official,SHFE Tin Futures,SN,266530.0,人民币/吨,264950.0,272000.0,262910.0,-1.3129637583495057,266530.0,264950.0,人民币/吨,-1.3129637583495057,,not_required,5
2025-07-28,2025-08-01,黄金,Yahoo Finance,COMEX Gold Futures,GC=F,764.6460829210664,人民币/克,774.9651144839706,777.9513927176648,753.0686042724949,-2.0709574719633306,3313.839990234375,3347.699951171875,美元/金衡盎司,-2.190056794308004,7.200200080871582,CNY=X,5
2025-08-04,2025-08-08,白银,Yahoo Finance,COMEX Silver Futures,SI=F,8.744830520691076,人民币/克,8.869506338423951,8.916373661371656,8.612377342592382,1.3277660289788384,37.844000244140624,38.41699981689453,美元/金衡盎司,1.1790507917819548,7.181000232696533,CNY=X,5
2025-08-04,2025-08-08,铜,Yahoo Finance,COMEX Copper Futures,HG=F,69732.71999449462,人民币/吨,70536.78491280058,70536.78491280058,68916.92208278504,-13.609513512332839,4.400799942016602,4.45550012588501,美元/磅,-13.748702302569383,7.181000232696533,CNY=X,5
2025-08-04,2025-08-08,锡,SHFE official,SHFE Tin Futures,SN,267328.0,人民币/吨,267780.0,268790.0,264980.0,0.2994034442651783,267328.0,267780.0,人民币/吨,0.2994034442651783,,not_required,5
2025-08-04,2025-08-08,黄金,Yahoo Finance,COMEX Gold Futures,GC=F,784.5415201172091,人民币/克,794.0005794315638,802.7507011398111,773.3834167383187,2.601914485736856,3395.139990234375,3439.10009765625,美元/金衡盎司,2.4533471815049834,7.181000232696533,CNY=X,5
2025-08-11,2025-08-15,白银,Yahoo Finance,COMEX Silver Futures,SI=F,8.76928825477354,人民币/克,8.746931601334461,8.886728602770596,8.678581810059011,0.27968219652279025,37.98719940185547,37.89400100708008,美元/金衡盎司,0.3783932903261622,7.179500102996826,CNY=X,5
