week,week_end,last_close,week_high,week_low,observation_count,contract_count,weekly_change_pct,unit
2025-07-12/2025-07-18,2025-07-18,264540.0,266470.0,260640.0,2,1,,人民币/吨
2025-07-19/2025-07-25,2025-07-25,272120.0,275750.0,263200.0,5,2,2.865351175625608,人民币/吨
2025-07-26/2025-08-01,2025-08-01,264950.0,272000.0,262910.0,5,1,-2.6348669704542083,人民币/吨
2025-08-02/2025-08-08,2025-08-08,267780.0,268790.0,264980.0,5,1,1.0681260615210464,人民币/吨
2025-08-09/2025-08-15,2025-08-15,266820.0,272000.0,265240.0,5,1,-0.3585032489356932,人民币/吨
2025-08-16/2025-08-22,2025-08-22,265930.0,269620.0,265040.0,5,1,-0.3335582040326801,人民币/吨
2025-08-23/2025-08-29,2025-08-29,278650.0,278880.0,266000.0,5,2,4.783213627646377,人民币/吨
2025-08-30/2025-09-05,2025-09-05,272460.0,279010.0,271030.0,5,1,-2.2214247263592335,人民币/吨
2025-09-06/2025-09-12,2025-09-12,273950.0,274900.0,268010.0,5,1,0.5468692652132345,人民币/吨
2025-09-13/2025-09-19,2025-09-19,268770.0,275030.0,267310.0,5,1,-1.8908559956196336,人民币/吨
2025-09-20/2025-09-26,2025-09-26,274070.0,275100.0,268100.0,5,2,1.971946273765668,人民币/吨
2025-09-27/2025-10-03,2025-09-30,275070.0,283000.0,270610.0,2,1,0.36487028861240667,人民币/吨
2025-10-04/2025-10-10,2025-10-10,286350.0,290640.0,280180.0,2,1,4.100774348347702,人民币/吨
2025-10-11/2025-10-17,2025-10-17,280750.0,287420.0,278100.0,5,1,-1.955648681683253,人民币/吨
2025-10-18/2025-10-24,2025-10-24,284300.0,284780.0,277280.0,5,2,1.2644701691896687,人民币/吨
2025-10-25/2025-10-31,2025-10-31,283910.0,289590.0,282030.0,5,1,-0.13717903622934013,人民币/吨
2025-11-01/2025-11-07,2025-11-07,283510.0,286750.0,279200.0,5,1,-0.14088971857278976,人民币/吨
2025-11-08/2025-11-14,2025-11-14,291450.0,299980.0,283920.0,5,1,2.800606680540363,人民币/吨
2025-11-15/2025-11-21,2025-11-21,290740.0,295900.0,288100.0,5,1,-0.2436095385143222,人民币/吨
2025-11-22/2025-11-28,2025-11-28,305040.0,306060.0,291070.0,5,1,4.918483868748713,人民币/吨
2025-11-29/2025-12-05,2025-12-05,317500.0,323700.0,303500.0,5,1,4.084710201940722,人民币/吨
2025-12-06/2025-12-12,2025-12-12,333000.0,338800.0,311000.0,5,1,4.881889763779523,人民币/吨
2025-12-13/2025-12-19,2025-12-19,343040.0,343740.0,317170.0,5,1,3.0150150150150212,人民币/吨
2025-12-20/2025-12-26,2025-12-26,338550.0,349200.0,328270.0,5,1,-1.308885261194026,人民币/吨
2025-12-27/2026-01-02,2025-12-31,322920.0,349980.0,316730.0,3,1,-4.616747895436424,人民币/吨
2026-01-03/2026-01-09,2026-01-09,352540.0,364240.0,326000.0,5,1,9.172550476898312,人民币/吨
2026-01-10/2026-01-16,2026-01-16,405240.0,443380.0,354100.0,5,1,14.948658308277075,人民币/吨
2026-01-17/2026-01-23,2026-01-23,429570.0,434600.0,377510.0,5,2,6.0038495706248085,人民币/吨
2026-01-24/2026-01-30,2026-01-30,409000.0,469950.0,400000.0,5,1,-4.788509439672229,人民币/吨
2026-01-31/2026-02-06,2026-02-06,357000.0,420640.0,345000.0,5,1,-12.713936430317851,人民币/吨
2026-02-07/2026-02-13,2026-02-13,365400.0,401080.0,358130.0,5,1,2.35294117647058,人民币/吨
2026-02-21/2026-02-27,2026-02-27,453240.0,453800.0,375000.0,4,2,24.03940886699507,人民币/吨
2026-02-28/2026-03-06,2026-03-06,393660.0,464700.0,378220.0,5,1,-13.14535345512311,人民币/吨
2026-03-07/2026-03-13,2026-03-13,374110.0,405800.0,369340.0,5,1,-4.966214499822186,人民币/吨
2026-03-14/2026-03-20,2026-03-20,342480.0,385000.0,327200.0,5,1,-8.454732565288282,人民币/吨
2026-03-21/2026-03-27,2026-03-27,362460.0,369950.0,322580.0,5,2,5.833917309039949,人民币/吨
2026-03-28/2026-04-03,2026-04-03,365740.0,378400.0,356400.0,5,1,0.9049274402692653,人民币/吨
2026-04-04/2026-04-10,2026-04-10,374790.0,381680.0,360000.0,4,1,2.4744353912615535,人民币/吨
2026-04-11/2026-04-17,2026-04-17,390660.0,398410.0,365800.0,5,1,4.234371247898827,人民币/吨
2026-04-18/2026-04-24,2026-04-24,387630.0,399400.0,384600.0,5,1,-0.7756105052987294,人民币/吨
2026-04-25/2026-05-01,2026-04-30,387370.0,394650.0,378500.0,4,1,-0.06707427185718151,人民币/吨
2026-05-02/2026-05-08,2026-05-08,425960.0,430690.0,390870.0,3,1,9.962051785115001,人民币/吨
2026-05-09/2026-05-15,2026-05-15,409060.0,440590.0,408540.0,5,1,-3.9675086862616227,人民币/吨
2026-05-16/2026-05-22,2026-05-22,421320.0,425400.0,400300.0,5,1,2.9971153376032955,人民币/吨
2026-05-23/2026-05-29,2026-05-29,424650.0,433530.0,416010.0,5,2,0.790373113073195,人民币/吨
2026-05-30/2026-06-05,2026-06-05,417850.0,451860.0,415620.0,5,1,-1.6013187330742973,人民币/吨
