date,symbol,variety,open,high,low,close,settle,pre_settle,volume,open_interest,turnover,source,source_url
2025-07-17,SN2508,SN,262000,262800,260640,261920,261740,263470,62243,22969,1629208.438,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250717.dat
2025-07-17,SN2509,SN,262230,262970,260850,262130,261930,263650,26079,20442,683091.4,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250717.dat
2025-07-17,SN2510,SN,261980,263010,260840,262210,261940,263640,3768,5881,98699.701,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250717.dat
2025-07-17,SN2511,SN,261970,262970,260840,262120,262010,263520,972,1489,25468.105,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250717.dat
2025-07-17,SN2512,SN,261440,263000,261010,262150,262120,263440,560,878,14678.955,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250717.dat
2025-07-17,SN2601,SN,261500,263310,261380,262350,262400,263120,49,348,1285.789,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250717.dat
2025-07-17,SN2602,SN,261980,262290,261930,262290,262080,263410,6,104,157.248,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250717.dat
2025-07-17,SN2603,SN,262000,263280,262000,263280,262640,262690,2,84,52.528,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250717.dat
2025-07-17,SN2604,SN,,,,262930,262930,263820,0,30,0,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250717.dat
2025-07-17,SN2605,SN,262440,262800,262440,262800,262620,263830,2,55,52.524,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250717.dat
2025-07-17,SN2606,SN,261140,262990,261140,262990,262240,263980,4,13,104.897,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250717.dat
2025-07-17,SN2607,SN,261200,262800,261200,262020,262000,262970,5,2,131.002,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250717.dat
2025-07-18,SN2508,SN,261000,266470,260800,264540,263900,261740,68576,19626,1809774.113,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250718.dat
2025-07-18,SN2509,SN,261460,266550,261020,264630,264190,261930,27316,20599,721669.506,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250718.dat
2025-07-18,SN2510,SN,261340,266480,261200,264590,264280,261940,3938,6029,104077.224,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250718.dat
2025-07-18,SN2511,SN,261170,266380,261070,264350,264400,262010,771,1417,20385.657,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250718.dat
2025-07-18,SN2512,SN,261900,266580,261900,264450,264710,262120,414,945,10959.28,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250718.dat
2025-07-18,SN2601,SN,262320,266300,262320,264430,264790,262400,60,335,1588.752,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250718.dat
2025-07-18,SN2602,SN,262930,266020,262930,264720,264700,262080,7,104,185.291,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250718.dat
2025-07-18,SN2603,SN,262000,266200,262000,264940,264500,262640,5,84,132.252,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250718.dat
2025-07-18,SN2604,SN,265010,265010,265010,265010,265010,262930,1,30,26.501,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250718.dat
2025-07-18,SN2605,SN,265430,265930,264950,264950,265510,262620,14,47,371.714,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250718.dat
2025-07-18,SN2606,SN,266940,266940,265070,265070,266120,262240,5,12,133.061,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250718.dat
2025-07-18,SN2607,SN,264800,265260,264800,265230,265090,262000,3,4,79.529,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250718.dat
2025-07-21,SN2508,SN,263800,268090,263200,267250,265570,263900,73273,18692,1945973.315,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250721.dat
2025-07-21,SN2509,SN,263550,268380,263450,267470,265900,264190,37852,23410,1006520.258,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250721.dat
2025-07-21,SN2510,SN,264360,268140,263370,267280,266240,264280,5755,6604,153223.652,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250721.dat
2025-07-21,SN2511,SN,263860,268040,263380,267250,266360,264400,1065,1444,28367.878,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250721.dat
2025-07-21,SN2512,SN,264020,268000,263540,267220,266690,264710,661,1128,17628.643,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250721.dat
2025-07-21,SN2601,SN,263880,268000,263500,267150,266020,264790,49,349,1303.538,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250721.dat
2025-07-21,SN2602,SN,263650,267660,263650,267190,266770,264700,18,101,480.194,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250721.dat
2025-07-21,SN2603,SN,265840,267380,265840,267380,266950,264500,4,86,106.78,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250721.dat
2025-07-21,SN2604,SN,,,,267120,267120,265010,0,30,0,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250721.dat
2025-07-21,SN2605,SN,263850,263850,263850,263850,263850,265510,1,47,26.385,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250721.dat
2025-07-21,SN2606,SN,,,,267180,267180,266120,0,12,0,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250721.dat
2025-07-21,SN2607,SN,264800,267470,264800,267470,265840,265090,6,4,159.504,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250721.dat
2025-07-22,SN2508,SN,268000,268930,265720,268520,267430,265570,63667,16761,1702680.396,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250722.dat
2025-07-22,SN2509,SN,268140,269140,265940,268800,267630,265900,32489,24727,869511.264,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250722.dat
2025-07-22,SN2510,SN,268000,268960,265940,268560,267520,266240,5454,7019,145909.877,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250722.dat
2025-07-22,SN2511,SN,265060,268870,265060,268460,267240,266360,790,1486,21112.162,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250722.dat
2025-07-22,SN2512,SN,268500,268680,265980,268350,267210,266690,473,1180,12639.252,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250722.dat
2025-07-22,SN2601,SN,268180,268670,266120,268290,267520,266020,57,351,1524.883,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250722.dat
2025-07-22,SN2602,SN,268640,268640,267740,267740,268340,266770,3,101,80.502,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250722.dat
