week,week_end,last_close,week_high,week_low,observation_count,contract_count,weekly_change_pct,unit
2026-03-28/2026-04-03,2026-04-03,365740,378400.0,357080.0,3,1,,人民币/吨
2026-04-04/2026-04-10,2026-04-10,374790,381680.0,360000.0,4,1,2.4744353912615535,人民币/吨
2026-04-11/2026-04-17,2026-04-17,390660,398410.0,365800.0,5,1,4.234371247898827,人民币/吨
2026-04-18/2026-04-24,2026-04-24,387630,399400.0,384600.0,5,1,-0.7756105052987294,人民币/吨
2026-04-25/2026-05-01,2026-04-30,387370,394650.0,378500.0,4,1,-0.06707427185718151,人民币/吨
2026-05-02/2026-05-08,2026-05-08,425960,430690.0,390870.0,3,1,9.962051785115001,人民币/吨
2026-05-09/2026-05-15,2026-05-15,409060,440590.0,408540.0,5,1,-3.9675086862616227,人民币/吨
2026-05-16/2026-05-22,2026-05-22,421320,425400.0,400300.0,5,1,2.9971153376032955,人民币/吨
2026-05-23/2026-05-29,2026-05-29,424650,433530.0,416010.0,5,2,0.790373113073195,人民币/吨
2026-05-30/2026-06-05,2026-06-05,417850,451860.0,415620.0,5,1,-1.6013187330742973,人民币/吨
2026-06-06/2026-06-12,2026-06-12,407990,415550.0,390060.0,5,1,-2.359698456383874,人民币/吨
2026-06-13/2026-06-19,2026-06-18,414330,427630.0,408000.0,4,1,1.5539596558739266,人民币/吨
2026-06-20/2026-06-26,2026-06-26,387220,424500.0,374500.0,5,2,-6.543093669297417,人民币/吨
2026-06-27/2026-07-03,2026-07-03,402180,404780.0,383650.0,5,1,3.8634368059501156,人民币/吨
2026-07-04/2026-07-10,2026-07-10,415680,419350.0,401100.0,5,1,3.3567059525585474,人民币/吨
